Name of Player,Country Code,Discipline,Latitude,Longitude
SEINEN Cheryl,NETHERLANDS,Badminton,52.132633,5.291266
SEITZ Elisabeth,GERMANY,Artistic Gymnastics,51.165691,10.451526
SEJANES Fabian,ARGENTINA,Equestrian,-38.416097,-63.616672
SEKAR Dhanalakshmi,INDIA,Athletics,20.593684,78.96288
SEKITA Masahiro,JAPAN,Volleyball,36.204824,138.252924
SEKO Ayumu,JAPAN,Football,36.204824,138.252924
SELIM Malak,EGYPT,Rhythmic Gymnastics,26.820553,30.802498
SELISHKA Miglena Georgieva,BULGARIA,Wrestling,42.733883,25.48583
SELMAN Manuel,CHILE,Surfing,-35.675147,-71.542969
SELMON Kenneth,UNITED STATES OF AMERICA,Athletics,-22.95764,18.49041
SELVON Kai,TRINIDAD AND TOBAGO,Athletics,10.691803,-61.222503
SEMBER Cindy,GREAT BRITAIN,Athletics,-22.95764,18.49041
SEMBERG Abishag,ISRAEL,Taekwondo,31.046051,34.851612
SEMCIUC Mugurel Vasile,ROMANIA,Rowing,45.943161,24.96676
SEMENIUK Kamil,POLAND,Volleyball,51.919438,19.145136
SEMENOV Konstantin,ROC,Beach Volleyball,-22.95764,18.49041
SEMENOV Sergei,ROC,Wrestling,-22.95764,18.49041
SEMENOVA Nataliya,UKRAINE,Athletics,48.379433,31.16558
SEMERARO Silvia,ITALY,Karate,41.87194,12.56738
SEMIANOVA Daria,ROC,Shooting,-22.95764,18.49041
SEMYONOVA Darya,TURKMENISTAN,Swimming,38.969719,59.556278
SEN Anna,ROC,Handball,-22.95764,18.49041
SENE Alioune,FRANCE,Athletics,46.227638,2.213749
SENGA Koudai,JAPAN,Baseball/Softball,36.204824,138.252924
SENIYASI Tokasa,FIJI,Rugby Sevens,-16.578193,179.414413
SENODUNCU Sahin,TURKEY,Athletics,38.963745,35.243322
SENOGLU Tugba,TURKEY,Volleyball,38.963745,35.243322
SEO Chaehyun,REPUBLIC OF KOREA,Sport Climbing,-22.95764,18.49041
SEO Jiyeon,REPUBLIC OF KOREA,Fencing,-22.95764,18.49041
SEO Seungjae,REPUBLIC OF KOREA,Badminton,-22.95764,18.49041
SEOL Youngwoo,REPUBLIC OF KOREA,Football,-22.95764,18.49041
SEPULVEDA Eduardo,ARGENTINA,Cycling Road,-38.416097,-63.616672
SERBIN Oleh,UKRAINE,Diving,48.379433,31.16558
SEREDA Oleksii,UKRAINE,Diving,48.379433,31.16558
SEREDINA Kristina,ROC,Rugby Sevens,-22.95764,18.49041
SERGEEV Aleksandr,ROC,Canoe Sprint,-22.95764,18.49041
SERGEYEVA Natalya,KAZAKHSTAN,Canoe Sprint,48.019573,66.923684
SERIKZHANOV Yerlan,KAZAKHSTAN,Judo,48.019573,66.923684
SERKSNIENE Agne,LITHUANIA,Athletics,55.169438,23.881275
SEROGINA Anita,UKRAINE,Karate,48.379433,31.16558
SERU Jose,JAPAN,Rugby Sevens,36.204824,138.252924
SERZHANTOVA Alena,ROC,Water Polo,-22.95764,18.49041
SETIAWAN Hendra,INDONESIA,Badminton,-0.789275,113.921327
SETIN SARTORI Murilo,BRAZIL,Swimming,-14.235004,-51.92528
SETO Daiya,JAPAN,Swimming,36.204824,138.252924
SEUTLOALI Khoarahlane,LESOTHO,Athletics,-29.609988,28.233608
SEVENICH Vivian,NETHERLANDS,Water Polo,52.132633,5.291266
SEVICK Jessica,CANADA,Rowing,56.130366,-106.346771
SEVILLE Oblique,JAMAICA,Athletics,18.109581,-77.297508
SEYDOU LANCINA Alassane,NIGER,Swimming,17.607789,8.081666
SEYI NTSENGUE Dieudonne Wilfred,CAMEROON,Boxing,7.369722,12.354722
SEYMOUR Pedrya,BAHAMAS,Athletics,25.03428,-77.39628
SEYNI Aminatou,NIGER,Athletics,17.607789,8.081666
SGHAIER Zaineb,TUNISIA,Wrestling,33.886917,9.537499
SHABAN Alzahraa,EGYPT,Shooting,26.820553,30.802498
SHABANAU Ali,BELARUS,Wrestling,53.709807,27.953389
SHACKLEY Anna,GREAT BRITAIN,Cycling Road,-22.95764,18.49041
SHADALOV Hamsat,GERMANY,Boxing,51.165691,10.451526
SHADOFF Jodi,GREAT BRITAIN,Golf,-22.95764,18.49041
SHAH Alexander,NEPAL,Swimming,28.394857,84.124008
SHAH Shah Hussain,PAKISTAN,Judo,30.375321,69.345116
SHAHBAKHSH Daniyal,ISLAMIC REPUBLIC OF IRAN,Boxing,-22.95764,18.49041
SHAHEEN Nigara,REFUGEE OLYMPIC TEAM,Judo,-22.95764,18.49041
SHAHZAD Mahoor,PAKISTAN,Badminton,30.375321,69.345116
MUKHTAR Ali,SAUDI ARABIA,Football,23.885942,45.079162
SHALA Egzon,KOSOVO,Wrestling,42.602636,20.902977
SHAMILOV Yakub,ROC,Judo,-22.95764,18.49041
